0,SansAnimation,,,,,,,,
0,SansHead,ClosedEyes,,,,,,,
0,SansText,hi I'm underman,,,,,,,
0,SansText,you stole my lunch box,,,,,,,
0,SansText,now your going                  to have...,,,,,,,
0,SansText,a bad tom...,,,,,,,
0,SansHead,ClosedEyes,,,,,,,
0,SansHead,NoEyes,,,,,,,
0,CombatZoneResizeInstant,239,226,404,391,,,,
0,HeartTeleport,320,304,,,,,,
0,HeartMode,0,,,,,,,
0,SansBody,HandUp,,,,,,,
0,SansHead,BlueEye,,,,,,,
0,Sound,GasterBlaster,1.4,,,,,,
0.26666,SansSlam,3,,,,,,,
0,BoneStab,0,54,0.16666,3,,,,
0,BoneStab,2,54,0.16666,3,,,,
0.5,SansBody,HandDown,,,,,,,
0,SansHead,NoEyes,,,,,,,
0,GasterBlaster,1,0,0,189,246,0,0.333,0.26666
0,GasterBlaster,1,0,0,259,166,90,0.333,0.26666
0,GasterBlaster,1,640,480,449,366,180,0.333,0.26666
0,GasterBlaster,1,640,480,379,446,270,0.333,0.26666
0.2,BoneStab,3,54,0.16666,1,,,,
0.7,HeartMode,0,,,,,,,
0,SansBody,HandRight,,,,,,,
0,Sound,Ding,,,,,,,
0,GasterBlaster,1,0,0,259,166,90,0.333,0.26666
0,GasterBlaster,1,640,480,379,446,270,0.333,0.26666
0.4,Sound,GasterBlaster,1.4,,,,,,
0,SineBones,20,-24,360,25,,,,
0.5,GasterBlaster,1,0,0,189,246,0,0.333,0.26666
0,GasterBlaster,1,640,480,449,366,180,0.333,0.26666
0.9,SansBody,HandLeft,,,,,,,
0.1,SansSlam,2,,,,,,,
0,GasterBlaster,1,0,0,189,246,0,0.333,0.2
0,GasterBlaster,1,0,0,259,166,90,0.333,0.2
0,GasterBlaster,1,640,480,449,366,180,0.333,0.2
0,GasterBlaster,1,640,480,379,446,270,0.333,0.2
0.7,GasterBlaster,1,0,0,189,176,45,0.333,0.2
0,GasterBlaster,1,640,0,449,176,135,0.333,0.2
0,GasterBlaster,1,640,480,449,436,225,0.333,0.2
0,GasterBlaster,1,0,480,189,436,315,0.333,0.2
0,GasterBlaster,1,0,0,189,246,0,0.333,0.26666
0,GasterBlaster,1,640,480,449,366,180,0.333,0.26666
0.3,HeartMode,0,,,,,,,
0.4,GasterBlaster,1,0,0,189,246,0,0.333,0.2
0,GasterBlaster,1,0,0,259,166,90,0.333,0.2
0,GasterBlaster,1,640,480,449,366,180,0.333,0.2
0,GasterBlaster,1,640,480,379,446,270,0.333,0.2
0,HeartTeleport,240,304,,,,,,
0,Sound,Ding,,,,,,,
0,SansHead,BlueEye,,,,,,,
0.5,GasterBlaster,2,0,240,139,306,0,0.666,0.5
0,GasterBlaster,2,640,240,499,306,180,0.666,0.5
0,GasterBlaster,2,0,240,324,106,90,0.666,0.5
0,GasterBlaster,2,640,240,324,506,270,0.666,0.5
0,GasterBlaster,1,0,0,189,246,0,1.5,0.1
0,GasterBlaster,1,0,0,259,166,90,1.5,0.1
0,GasterBlaster,1,640,480,449,366,180,1.5,0.1
0,GasterBlaster,1,640,480,379,446,270,1.5,0.1
1,SansHead,NoEyes,,,,,,,
1.2,SansHead,Default,,,,,,,
0.05,SansSlam,2,,,,,,,
0,SansBody,HandLeft,,,,,,,
0,BoneStab,2,30,0.3,0.5,,,,
0.6,SansSlam,0,,,,,,,
0,SansBody,HandRight,,,,,,,
0,BoneStab,0,30,0.3,0.5,,,,
0,GasterBlaster,1,0,0,269,166,90,0.333,0.8
0,GasterBlaster,1,640,480,369,446,270,0.333,0.8
0.6,SansSlam,1,,,,,,,
0,SansBody,HandDown,,,,,,,
0,BoneStab,1,30,0.3,0.5,,,,
0.6,SansSlam,3,,,,,,,
0,SansBody,HandUp,,,,,,,
0,BoneStab,3,30,0.3,0.5,,,,
0.7,SansAnimation,Idle,,,,,,,
0,HeartMode,0,,,,,,,
0,BoneHRepeat,130,-10,200,1,500,7,183,
0,BoneHRepeat,330,650,200,3,500,7,183,
0,GasterBlaster,1,0,0,189,226,0,0.333,1.6
0,GasterBlaster,1,640,480,449,386,180,0.333,1.6
2.6666666,SansTorso,Default,,,,,,,
0,SansBody,HandLeft,,,,,,,

0,EndAttack,,,,,,,,
